year,province,component,name,carrier,group,capacity_mw
2025,Shandong,Generator,Shandong hydroelectricity,hydroelectricity,generator,1080.0
2025,Shandong,Generator,Shandong onwind,onwind,renewable,0.0
2025,Shandong,Generator,Shandong offwind,offwind,renewable,1133.6976850912247
2025,Shandong,Generator,Shandong solar,solar,renewable,0.0
2025,Shandong,Generator,Shandong nuclear,nuclear,generator,0.0
2025,Shandong,Generator,Shandong coal power plant,coal power plant,generator,32506.50740158305
2025,Shandong,Generator,Shandong coal cc,coal cc,generator,0.08194247444125792
2025,Shandong,Generator,Shandong coal-1985,coal power plant,generator,475.0
2025,Shandong,Generator,Shandong coal-1990,coal power plant,generator,3320.0
2025,Shandong,Generator,Shandong coal-1995,coal power plant,generator,2315.0
2025,Shandong,Generator,Shandong coal-2000,coal power plant,generator,5915.0
2025,Shandong,Generator,Shandong coal-2005,coal power plant,generator,6665.0
2025,Shandong,Generator,Shandong coal-2010,coal power plant,generator,17865.0
2025,Shandong,Generator,Shandong onwind-2010,onwind,renewable,1246.0
2025,Shandong,Generator,Shandong coal-2015,coal power plant,generator,9770.0
2025,Shandong,Generator,Shandong onwind-2015,onwind,renewable,6467.0
2025,Shandong,Generator,Shandong solar-2015,solar,renewable,1327.0
2025,Shandong,Generator,Shandong coal-2020,coal power plant,generator,10410.0
2025,Shandong,Generator,Shandong nuclear-2020,nuclear,generator,2717.0
2025,Shandong,Generator,Shandong offwind-2020,offwind,renewable,2046.0
2025,Shandong,Generator,Shandong onwind-2020,onwind,renewable,9107.0
2025,Shandong,Generator,Shandong solar-2020,solar,renewable,21393.0
2025,Shandong,Generator,Shandong coal-2025,coal power plant,generator,20522.309
2025,Shandong,Generator,Shandong nuclear-2025,nuclear,generator,627.89
2025,Shandong,Generator,Shandong offwind-2025,offwind,renewable,848.505
2025,Shandong,Generator,Shandong onwind-2025,onwind,renewable,6975.495
2025,Shandong,Generator,Shandong solar-2025,solar,renewable,69008.0
2025,Shandong,Link,Shandong OCGT,OCGT gas,link_capacity,0.183019333712276
2025,Shandong,Link,Shandong central CHP gas generator,CHP gas,link_capacity,0.16557357215675655
2025,Shandong,Link,Shandong central CHP coal generator,CHP coal,link_capacity,0.1645060095908301
2025,Shandong,Link,Shandong battery discharger,battery,link_capacity,10983.51200663977
